N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,셀트리온헬스케어,"109,200","9,400",+9.42%,"1,000","165,776","151,810",16.74,"21,595,844",95.20,3.94,
2,셀트리온제약,"171,300","34,000",+24.76%,500,"61,344","35,811",8.10,"10,275,039",492.24,3.13,
3,에이치엘비,"92,900","1,700",-1.80%,500,"48,916","52,655",11.82,"510,923",-176.62,-24.69,
4,씨젠,"179,400","6,100",-3.29%,500,"47,064","26,234",15.68,"2,120,540",14.64,19.01,
5,알테오젠,"161,000","3,200",-1.95%,500,"45,213","28,083",18.01,"206,009",495.38,-1.03,
6,카카오게임즈,"48,200",900,-1.83%,100,"35,627","73,915",1.43,"469,406",244.67,2.64,
7,에코프로비엠,"148,900","3,800",-2.49%,500,"31,321","21,035",6.15,"350,081",94.90,12.99,
8,제넥신,"122,800","3,800",+3.19%,500,"29,792","24,261",7.61,"1,811,484",-726.63,-5.35,
9,CJ ENM,"135,600","2,300",-1.67%,"5,000","29,736","21,929",20.80,"114,334",50.13,3.65,
10,케이엠더블유,"70,300","1,800",-2.50%,500,"27,994","39,821",8.74,"474,622",210.48,67.76,
11,SK머티리얼즈,"258,800","3,600",+1.41%,500,"27,297","10,548",15.18,"67,530",21.72,30.22,
12,펄어비스,"207,800",400,+0.19%,500,"27,180","13,080",23.18,"46,419",16.53,31.62,
13,휴젤,"199,600","4,900",-2.40%,500,"25,290","12,670",73.84,"108,873",67.48,6.25,
14,스튜디오드래곤,"80,200",700,-0.87%,500,"24,063","30,004",8.83,"200,288",70.91,6.37,
15,메드팩토,"99,300","1,200",-1.19%,500,"20,192","20,335",5.86,"207,513",-97.35,-32.46,
16,솔브레인,"246,500","10,400",-4.05%,500,"19,174","7,779",22.67,"136,552",N/A,N/A,
17,리노공업,"125,300","3,100",-2.41%,500,"19,099","15,242",42.74,"65,719",31.00,18.75,
18,원익IPS,"37,300","1,400",-3.62%,500,"18,308","49,084",27.50,"900,488",29.44,9.16,
19,천보,"171,700","1,100",-0.64%,500,"17,170","10,000",4.69,"289,027",75.27,14.49,
20,오스코텍,"57,400","2,100",-3.53%,500,"16,761","29,200",8.98,"704,622",-137.65,-45.99,
21,컴투스,"124,800","3,600",-2.80%,500,"16,057","12,866",33.87,"125,829",15.47,12.68,
22,셀리버리,"196,700","3,500",-1.75%,500,"16,045","8,157",8.08,"190,546",-96.47,-62.27,
23,동진쎄미켐,"30,650",800,-2.54%,500,"15,759","51,414",9.27,"1,124,137",18.46,17.78,
24,메지온,"177,400","1,800",-1.00%,500,"15,697","8,848",18.05,"73,392",-65.03,-46.43,
25,NHN한국사이버결제,"65,500","2,500",-3.68%,500,"15,046","22,971",35.54,"257,930",57.06,20.20,
26,콜마비앤에이치,"49,950","1,350",-2.63%,500,"14,757","29,544",5.44,"280,666",20.61,23.84,
27,JYP Ent.,"39,850",850,+2.18%,500,"14,146","35,497",19.17,"1,314,891",41.47,21.91,
28,파라다이스,"15,450",300,+1.98%,500,"14,051","90,943",8.86,"2,760,166",-145.75,1.19,
29,에스티팜,"73,600","1,700",-2.26%,500,"13,731","18,656",2.76,"581,407",-120.66,-5.86,
30,에스에프에이,"37,450",950,-2.47%,500,"13,448","35,909",19.81,"172,468",10.78,15.90,
31,NICE평가정보,"21,700",350,-1.59%,500,"13,175","60,715",36.89,"196,275",29.89,19.30,
32,이오테크닉스,"104,200","2,900",-2.71%,500,"12,837","12,320",13.38,"160,535",54.41,3.17,
33,엘앤에프,"45,000","1,100",-2.39%,500,"12,626","28,059",14.16,"1,060,457",-592.11,-6.66,
34,레고켐바이오,"53,300","1,200",-2.20%,500,"12,623","23,684",5.91,"369,651",79.20,12.61,
35,메디톡스,"210,800","2,800",-1.31%,500,"12,600","5,977",14.65,"80,392",-129.40,10.24,
36,삼천당제약,"55,300",700,-1.25%,500,"12,591","22,768",6.67,"209,594",155.34,6.82,
37,고영,"90,800","2,100",-2.26%,500,"12,468","13,731",64.36,"36,356",103.65,12.59,
38,에이치엘비생명과학,"26,400",650,-2.40%,500,"12,427","47,070",5.88,"773,592",-61.83,-2.75,
39,티씨케이,"101,900","5,100",-4.77%,500,"11,897","11,675",68.08,"81,477",20.87,23.15,
40,아이티엠반도체,"51,200","1,000",-1.92%,500,"11,830","23,106",6.97,"99,702",23.09,22.69,
41,웹젠,"33,500","1,450",-4.15%,500,"11,829","35,311",30.51,"622,258",18.22,12.74,
42,에이비엘바이오,"25,200",400,-1.56%,500,"11,654","46,246",4.45,"530,967",-21.59,-25.61,
43,동국제약,"25,650",700,-2.66%,500,"11,404","44,460",24.55,"301,196",18.85,16.66,
44,서울반도체,"18,350",250,-1.34%,500,"10,699","58,305",10.99,"1,082,067",41.42,5.27,
45,포스코 ICT,"6,850",180,-2.56%,500,"10,414","152,035",3.20,"2,283,973",28.78,11.13,
46,에이스테크,"23,650",500,-2.07%,500,"9,687","40,958",3.86,"565,188",-18.70,-11.08,
47,클래시스,"14,900",250,-1.65%,100,"9,642","64,709",4.88,"176,731",27.24,48.06,
48,차바이오텍,"18,300",500,-2.66%,500,"9,608","52,505",6.21,"530,425",-125.34,13.17,
49,젬백스,"24,250","1,250",-4.90%,500,"9,602","39,597",6.53,"524,236",-15.66,-88.24,
50,에코프로,"42,700","1,200",-2.73%,500,"9,433","22,090",13.64,"500,394",37.42,9.33,
